Date,price,returns,drift,vol,position,strategy_returns,cumulative_strategy,cumulative_asset
2018-01-31,248.11875915527344,0.0004966578043110736,0.002402007991372068,0.00549539327184187,1,0.0004966578043110736,1.000496657804311,1.000496657804311
2018-02-01,247.83714294433594,-0.0011350057202296204,0.0020290064363595985,0.0054682114577922795,1,-0.0011350057202296204,0.9993610883746326,0.9993610883746326
2018-02-02,242.44174194335938,-0.021769945121536405,0.000729749194445617,0.007594924416581227,1,-0.021769945121536405,0.9776050523241179,0.9776050523241179
2018-02-05,232.30215454101562,-0.04182277903576781,-0.0016945931160372296,0.012039250451209621,1,-0.04182277903576781,0.936718892236516,0.936718892236516
2018-02-06,236.87911987304688,0.019702638320657995,-0.0008008757114104925,0.012943975772585546,-1,-0.019702638320657995,0.9182630586946525,0.9551747257783796
2018-02-07,235.59405517578125,-0.005424980884572439,-0.0011853085919227625,0.012962331583324124,1,-0.005424980884572439,0.913281499154225,0.9499929211496052
2018-02-08,226.7571258544922,-0.03750913542659495,-0.002984275899387262,0.01529876985586359,-1,0.03750913542659495,0.9475378985886044,0.9143595080158982
2018-02-09,230.1633758544922,0.015021578647921974,-0.00259799086770241,0.015665146922435227,-1,-0.015021578647921974,0.933304383523069,0.9280946312780343
2018-02-12,233.5431671142578,0.01468431390188818,-0.0021897185965547073,0.01601769899826776,-1,-0.01468431390188818,0.919599448989408,0.9417230641743781
2018-02-13,234.12411499023438,0.002487539597732402,-0.0018944460117912786,0.016048268491183203,-1,-0.002487539597732402,0.917311908945994,0.9440656375866098
2018-02-14,237.2838897705078,0.013496152587294308,-0.001696218154550827,0.01622039282734217,-1,-0.013496152587294308,0.9049317274527167,0.9568068914839
2018-02-15,240.31167602539062,0.01276018467925133,-0.0009741502668374369,0.016539397051700176,-1,-0.01276018467925133,0.893384631488306,0.969015924121615
2018-02-16,240.38211059570312,0.0002930967461816092,-0.0011869834952394798,0.016491892422795893,-1,-0.0002930967461816092,0.8931227833597282,0.9692999395359732
2018-02-20,238.87698364257812,-0.0062613933682297285,-0.0019066031951135598,0.016377512752459134,-1,0.0062613933682297285,0.8987149764324718,0.9632307713227372
2018-02-21,237.68878173828125,-0.004974116326228906,-0.0022614245758649397,0.016362497357690894,-1,0.004974116326228906,0.9031852892693709,0.9584395494171747
2018-02-22,237.99679565429688,0.0012958706496917216,-0.002177225730840998,0.01637697085719845,1,0.0012958706496917216,0.9043557005769685,0.9596815630987682
2018-02-23,241.7903594970703,0.015939558481635085,-0.0014014237881640524,0.016866839056480617,-1,-0.015939558481635085,0.8899406699994218,0.9749784634975279
2018-02-26,244.59805297851562,0.011612098543901439,-0.0013997205528739009,0.016868220385624865,1,0.011612098543901439,0.9002747487576808,0.9863000094938428
2018-02-27,241.54391479492188,-0.012486355252639747,-0.0016925483039733791,0.0170139959325691,-1,0.012486355252639747,0.9115158990956501,0.9739847171896207
2018-02-28,239.09710693359375,-0.010129867537360782,-0.0016861944356346636,0.017010652627667804,-1,0.010129867537360782,0.9207494344116872,0.9641183810210759
2018-03-01,235.620361328125,-0.01454114460044209,-0.0024380845558723218,0.017239889299840702,-1,0.01454114460044209,0.934138185078243,0.9500989962307044
2018-03-02,236.8350067138672,0.005155095166205381,-0.002123579511550572,0.017322091118639093,-1,-0.005155095166205381,0.9293226138357783,0.9549968469735899
2018-03-05,239.5723114013672,0.011557855088572655,-0.0004571895010451188,0.01693129589254955,-1,-0.011557855088572655,0.9185816377345308,0.9660345621409544
2018-03-06,240.1796417236328,0.002535060578215731,0.0017607024796540583,0.013852925774269383,1,0.002535060578215731,0.9209102978322244,0.9684835182766318
2018-03-07,240.09165954589844,-0.00036631821541155407,0.0007572546528505808,0.013196172695008213,1,-0.00036631821541155407,0.9205729516153685,0.9681287451225612
2018-03-08,241.2534942626953,0.004839129851467172,0.0012704601896525614,0.013142567586542567,-1,-0.004839129851467172,0.9161181795647533,0.9728136458331472
2018-03-09,245.45181274414062,0.01740210434786027,0.0040160221783753225,0.009966853663331207,1,0.01740210434786027,0.9320605637205109,0.989742650408958
2018-03-12,245.14378356933594,-0.0012549476467944576,0.0032021958636395008,0.009681343565036653,1,-0.0012549476467944576,0.9308908765094,0.9885005751988952
2018-03-13,243.5594940185547,-0.006462695189385248,0.0021448454090758295,0.009514673255469258,1,-0.006462695189385248,0.9248748125199401,0.9821121972868527
2018-03-14,242.3096466064453,-0.005131589787315649,0.001763888939823427,0.009651772810267982,1,-0.005131589787315649,0.9201287343774672,0.9770724003652573
2018-03-15,242.04559326171875,-0.001089735173257167,0.0010345945517958532,0.009261798743782685,-1,0.001089735173257167,0.921131431023243,0.9760076502037605
2018-03-16,242.30807495117188,0.0010844307715585089,0.00045080685641121223,0.008842285551712428,1,0.0010844307715585089,0.9221303342916943,0.977066062932918
2018-03-19,239.02957153320312,-0.013530310199647344,-0.00024036349088023544,0.009379223103443695,1,-0.013530310199647344,0.9096536248242232,0.9638460560158875
2018-03-20,239.43600463867188,0.001700346542320208,0.00015772350464726136,0.00927864209662547,1,0.001700346542320208,0.9112003512199021,0.965484928324563
2018-03-21,238.97653198242188,-0.0019189789645186472,0.0003104803727327743,0.009214636537564234,1,-0.0019189789645186472,0.909451776913449,0.9636321830565484
2018-03-22,233.00279235839844,-0.024997180997098245,-0.0010041722096067241,0.0108050219942686,1,-0.024997180997098245,0.8867180462378109,0.9395440949620549
2018-03-23,228.03648376464844,-0.021314373718367086,-0.0028668688196068328,0.010940612433562294,1,-0.021314373718367086,0.8678182064174779,0.9195183009971487
2018-03-26,234.2753143310547,0.02735891407992952,-0.0020795280428054287,0.01249379288835907,-1,-0.02735891407992952,0.8440756426711036,0.9446753231890525
2018-03-27,230.2899169921875,-0.017011597445710458,-0.002305790152458964,0.012730905427840073,1,-0.017011597445710458,0.8297165676242534,0.9286048868740638
2018-03-28,229.60943603515625,-0.0029548881944941874,-0.0019470411853156344,0.012599236050679846,1,-0.0029548881944941874,0.8272648479338043,0.92586096325649
2018-03-29,232.54322814941406,0.012777315100449993,-0.0005811182002710303,0.012642773153761683,-1,-0.012777315100449993,0.8166946243002282,0.9376909805232243
2018-04-02,227.52391052246094,-0.021584449768316194,-0.001918095446997109,0.013395679148886425,-1,0.021584449768316194,0.8343225283944904,0.9174514366559177
2018-04-03,230.44004821777344,0.012816840606405755,-0.001855146171105454,0.013465116769623538,1,0.012816840606405755,0.845015907255256,0.9292102654836545
2018-04-04,232.9055633544922,0.010699160826371346,-0.0014469411586976733,0.013726428801124296,1,0.010699160826371346,0.854056868347822,0.9391520355555794
2018-04-05,234.74363708496094,0.007891927114128672,-0.001034028892220662,0.013883953041077124,-1,-0.007891927114128672,0.8473167137915,0.9465637549692696
2018-04-06,229.51223754882812,-0.02228558610191167,-0.0023902646898896042,0.014587063606101376,1,-0.02228558610191167,0.8284337642107107,0.9254690269069531
2018-04-09,230.64337158203125,0.0049284258010968696,-0.003013948617227774,0.013948989387789231,1,0.0049284258010968696,0.8325166385487466,0.9300301323372774
2018-04-10,234.3106231689453,0.015900095293264194,-0.0021561964702248417,0.014576195430966322,-1,-0.015900095293264194,0.8192795446625936,0.9448177000670472
2018-04-11,233.08229064941406,-0.005242325349651744,-0.0020951779782381664,0.01455976392721386,-1,0.005242325349651744,0.8235744745880293,0.9398646582871861
2018-04-12,234.99993896484375,0.008227344557524052,-0.0014272312609961812,0.014718694530914879,-1,-0.008227344557524052,0.8167986436168118,0.9475972486683544
2018-04-13,234.3106231689453,-0.0029332594677888846,-0.0015194074757227671,0.014722241844180913,-1,0.0029332594677888846,0.8191945259714779,0.9448177000670472
2018-04-16,236.23715209960938,0.008222115176036882,-0.0011625232554988486,0.014874410481863285,1,0.008222115176036882,0.8259300377155944,0.9525861000173568
2018-04-17,238.76446533203125,0.010698203944467854,4.890245170691143e-05,0.014800564191612716,1,0.010698203944467854,0.8347660057029378,0.9627770603900077
2018-04-18,238.9412078857422,0.0007402380980987555,8.97029495838808e-07,0.014796482324474503,1,0.0007402380980987555,0.8353839313033569,0.9634897446500839
2018-04-19,237.61572265625,-0.005547327902209354,-0.0001805204173886965,0.014843429389270565,-1,0.005547327902209354,0.8400180798945334,0.9581449511060939
